District,X,Y
CENTRAL,-122.41378829382472,37.80472203449138
SOUTHERN,-122.40537189008205,37.782004275671795
BAYVIEW,-122.38717171082612,37.80107646000568
MISSION,-122.38411763339997,37.741944838076414
PARK,-122.43147182669271,37.75504903760458
RICHMOND,-122.44807389676444,37.75904593878298
INGLESIDE,-122.49108536472559,37.780256905896486
TARAVAL,-122.44003311974316,37.73282917434334
NORTHERN,-122.491160876386,37.739987410809036
TENDERLOIN,-122.43566112739282,37.798044813360505
